1.000000,0.083333,0.666667,0.000000,0.083333
2.000000,0.416667,0.333333,0.694915,0.750000
2.000000,0.861111,0.333333,0.864407,0.833333
1.000000,0.194444,0.625000,0.050847,0.041667
2.000000,0.583333,0.458333,0.762712,0.708333
1.000000,0.166667,0.458333,0.084746,0.041667
3.000000,0.305556,0.416667,0.593220,0.500000
1.000000,0.083333,0.500000,0.067797,0.041667
3.000000,0.388889,0.333333,0.593220,0.500000
2.000000,0.500000,0.416667,0.661017,0.708333
3.000000,0.444444,0.500000,0.644068,0.625000
2.000000,0.583333,0.500000,0.728814,0.791667
1.000000,0.027778,0.416667,0.050847,0.000000
2.000000,0.166667,0.208333,0.593220,0.791667
3.000000,0.527778,0.083333,0.593220,0.375000
2.000000,0.722222,0.500000,0.796610,0.833333
1.000000,0.194444,0.416667,0.101695,0.041667
1.000000,0.222222,0.750000,0.152542,0.041667
3.000000,0.250000,0.291667,0.491525,0.500000
3.000000,0.500000,0.333333,0.508475,0.500000
2.000000,0.611111,0.416667,0.711864,0.708333
1.000000,0.333333,0.916667,0.067797,0.125000
2.000000,0.555556,0.583333,0.779661,1.000000
3.000000,0.416667,0.250000,0.508475,0.375000
1.000000,0.083333,0.458333,0.084746,0.041667
1.000000,0.194444,0.583333,0.101695,0.041667
1.000000,0.222222,0.625000,0.067797,0.041667
1.000000,0.388889,1.000000,0.084746,0.125000
1.000000,0.305556,0.583333,0.084746,0.041667
3.000000,0.611111,0.333333,0.610169,0.500000
3.000000,0.500000,0.416667,0.610169,0.500000
3.000000,0.222222,0.208333,0.338983,0.375000
2.000000,0.833333,0.375000,0.898305,0.833333
3.000000,0.333333,0.166667,0.457627,0.416667
2.000000,0.666667,0.541667,0.796610,1.000000
2.000000,0.583333,0.333333,0.779661,0.708333
1.000000,0.166667,0.458333,0.084746,0.041667
3.000000,0.194444,0.125000,0.389831,0.375000
1.000000,0.250000,0.625000,0.084746,0.041667
3.000000,0.666667,0.458333,0.627119,0.541667
3.000000,0.472222,0.375000,0.593220,0.500000
1.000000,0.166667,0.458333,0.084746,0.041667
1.000000,0.055556,0.125000,0.050847,0.041667
3.000000,0.555556,0.125000,0.576271,0.375000
1.000000,0.250000,0.875000,0.084746,0.125000
1.000000,0.222222,0.541667,0.118644,0.041667
3.000000,0.500000,0.333333,0.627119,0.500000
3.000000,0.361111,0.416667,0.525424,0.500000
2.000000,0.694444,0.500000,0.830508,0.833333
2.000000,0.472222,0.083333,0.677966,0.750000
